subj,delay,congruency,granularity,cond,accuracy_gran,accuracy_rel,prop_forgetting,include,CB_order,DK,incorrect,total_forgot,R_enc,UR_enc,DK_perc,incorrect_perc,total_forgot_perc
P101,short,R,coarse,Rcoarse,23.80952381,97.61904762,,1,1,0,1,1,42,38,0,2.380952381,2.380952381
S102,short,R,coarse,Rcoarse,33.33333333,74.35897436,,1,1,4,6,10,39,41,10.25641026,15.38461538,25.64102564
S103,short,R,coarse,Rcoarse,33.33333333,48.71794872,,1,1,17,3,20,39,41,43.58974359,7.692307692,51.28205128
S104,short,R,coarse,Rcoarse,6.976744186,72.09302326,,1,1,9,3,12,43,37,20.93023256,6.976744186,27.90697674
S105,short,R,coarse,Rcoarse,7.5,90,,1,1,0,4,4,40,40,0,10,10
S106,short,R,coarse,Rcoarse,35,92.5,,1,1,0,3,3,40,40,0,7.5,7.5
S107,short,R,coarse,Rcoarse,30.23255814,88.37209302,,1,1,0,5,5,43,37,0,11.62790698,11.62790698
S108,short,R,coarse,Rcoarse,20,95,,1,1,0,2,2,40,40,0,5,5
S109,short,R,coarse,Rcoarse,10.52631579,94.73684211,,1,1,0,2,2,38,42,0,5.263157895,5.263157895
S110,short,R,coarse,Rcoarse,15,92.5,,1,1,0,3,3,40,40,0,7.5,7.5
S111,short,R,coarse,Rcoarse,9.523809524,88.0952381,,1,2,0,5,5,42,38,0,11.9047619,11.9047619
S112,short,R,coarse,Rcoarse,2.43902439,97.56097561,,1,2,0,1,1,41,39,0,2.43902439,2.43902439
S113,short,R,coarse,Rcoarse,30,95,,1,2,0,2,2,40,40,0,5,5
S114,short,R,coarse,Rcoarse,25.64102564,82.05128205,,1,2,0,7,7,39,41,0,17.94871795,17.94871795
S115,short,R,coarse,Rcoarse,23.25581395,88.37209302,,1,2,1,4,5,43,37,2.325581395,9.302325581,11.62790698
S116,short,R,coarse,Rcoarse,27.5,95,,1,2,0,2,2,40,40,0,5,5
S117,short,R,coarse,Rcoarse,2.5,95,,1,2,0,2,2,40,40,0,5,5
S118,short,R,coarse,Rcoarse,16.66666667,85.71428571,,1,2,0,6,6,42,38,0,14.28571429,14.28571429
S119,short,R,coarse,Rcoarse,5,90,,1,2,0,4,4,40,40,0,10,10
S120,short,R,coarse,Rcoarse,28.94736842,92.10526316,,1,2,0,3,3,38,42,0,7.894736842,7.894736842
S121,short,R,coarse,Rcoarse,12.5,92.5,,1,2,1,2,3,40,40,2.5,5,7.5
S122,short,R,coarse,Rcoarse,12.82051282,97.43589744,,1,2,0,1,1,39,41,0,2.564102564,2.564102564
S123,short,R,coarse,Rcoarse,2.564102564,100,,1,2,0,0,0,39,41,0,0,0
P101,long,R,coarse,Rcoarse,34.14634146,82.92682927,-0.434146341,1,1,3,4,7,41,39,7.317073171,9.756097561,17.07317073
S102,long,R,coarse,Rcoarse,,,,1,1,23,4,27,38,42,60.52631579,10.52631579,71.05263158
S103,long,R,coarse,Rcoarse,,,,1,1,22,0,22,30,50,73.33333333,0,73.33333333
S104,long,R,coarse,Rcoarse,,,,1,1,30,2,32,40,40,75,5,80
S105,long,R,coarse,Rcoarse,24.3902439,92.68292683,-2.25203252,1,1,1,2,3,41,39,2.43902439,4.87804878,7.317073171
S106,long,R,coarse,Rcoarse,43.90243902,70.73170732,-0.254355401,1,1,7,5,12,41,39,17.07317073,12.19512195,29.26829268
S107,long,R,coarse,Rcoarse,34.14634146,75.6097561,-0.12945591,1,1,1,9,10,41,39,2.43902439,21.95121951,24.3902439
S108,long,R,coarse,Rcoarse,,,,1,1,23,3,26,40,40,57.5,7.5,65
S109,long,R,coarse,Rcoarse,40,67.5,-2.8,1,1,2,11,13,40,40,5,27.5,32.5
S110,long,R,coarse,Rcoarse,19.51219512,90.24390244,-0.300813008,1,1,0,4,4,41,38,0,9.756097561,9.756097561
S111,long,R,coarse,Rcoarse,30.43478261,69.56521739,-2.195652174,1,2,0,14,14,46,34,0,30.43478261,30.43478261
S112,long,R,coarse,Rcoarse,17.07317073,92.68292683,-6,0,2,1,2,3,41,39,2.43902439,4.87804878,7.317073171
S113,long,R,coarse,Rcoarse,25,62.5,0.166666667,1,2,0,15,15,40,40,0,37.5,37.5
S114,long,R,coarse,Rcoarse,26.19047619,80.95238095,-0.021428571,1,2,0,8,8,42,38,0,19.04761905,19.04761905
S115,long,R,coarse,Rcoarse,36.58536585,68.29268293,-0.573170732,1,2,0,13,13,41,39,0,31.70731707,31.70731707
S116,long,R,coarse,Rcoarse,48.7804878,87.80487805,-0.77383592,1,2,3,2,5,41,38,7.317073171,4.87804878,12.19512195
S117,long,R,coarse,Rcoarse,45,100,-17,0,2,9,1,10,40,40,22.5,2.5,25
S118,long,R,coarse,Rcoarse,23.07692308,53.84615385,-0.384615385,1,2,5,13,18,39,41,12.82051282,33.33333333,46.15384615
S119,long,R,coarse,Rcoarse,20,90,-3,1,2,2,2,4,40,40,5,5,10
S120,long,R,coarse,Rcoarse,52.38095238,92.85714286,-0.80952381,1,2,0,3,3,42,38,0,7.142857143,7.142857143
S121,long,R,coarse,Rcoarse,43.90243902,92.68292683,-2.512195122,1,2,1,2,3,41,39,2.43902439,4.87804878,7.317073171
S122,long,R,coarse,Rcoarse,26.31578947,73.68421053,-1.052631579,1,2,0,10,10,38,42,0,26.31578947,26.31578947
S123,long,R,coarse,Rcoarse,25,90,-8.75,0,2,4,0,4,40,40,10,0,10
P101,short,UR,coarse,URcoarse,15.78947368,65.78947368,,1,1,0,13,13,42,38,0,34.21052632,34.21052632
S102,short,UR,coarse,URcoarse,19.51219512,51.2195122,,1,1,10,10,20,39,41,24.3902439,24.3902439,48.7804878
S103,short,UR,coarse,URcoarse,12.19512195,39.02439024,,1,1,24,1,25,39,41,58.53658537,2.43902439,60.97560976
S104,short,UR,coarse,URcoarse,10.81081081,59.45945946,,1,1,9,6,15,43,37,24.32432432,16.21621622,40.54054054
S105,short,UR,coarse,URcoarse,10,80,,1,1,3,5,8,40,40,7.5,12.5,20
S106,short,UR,coarse,URcoarse,35,65,,1,1,3,11,14,40,40,7.5,27.5,35
S107,short,UR,coarse,URcoarse,24.32432432,86.48648649,,1,1,0,5,5,43,37,0,13.51351351,13.51351351
S108,short,UR,coarse,URcoarse,20,85,,1,1,0,6,6,40,40,0,15,15
S109,short,UR,coarse,URcoarse,23.80952381,71.42857143,,1,1,3,9,12,38,42,7.142857143,21.42857143,28.57142857
S110,short,UR,coarse,URcoarse,7.5,92.5,,1,1,0,3,3,40,40,0,7.5,7.5
S111,short,UR,coarse,URcoarse,7.894736842,89.47368421,,1,2,0,4,4,42,38,0,10.52631579,10.52631579
S112,short,UR,coarse,URcoarse,0,94.87179487,,1,2,0,2,2,41,39,0,5.128205128,5.128205128
S113,short,UR,coarse,URcoarse,12.5,97.5,,1,2,0,1,1,40,40,0,2.5,2.5
S114,short,UR,coarse,URcoarse,41.46341463,82.92682927,,1,2,0,7,7,39,41,0,17.07317073,17.07317073
